graph	variant	theta	seeds	basin_best_1e5	basin_best_1e6	se_basin_best_1e6	best_real_1e6	acc_rate_1e6
random_n124_d5	none	-1.00	8	64.100	63.375	0.691	63.375	0.01057
random_n124_d5	none	-0.90	8	64.825	63.175	0.631	63.175	0.01836
random_n124_d5	none	-0.80	8	62.150	61.625	0.395	61.625	0.01869
random_n124_d5	none	-0.70	8	62.375	61.000	0.407	61.000	0.02497
random_n124_d5	none	-0.60	8	62.175	60.900	0.474	60.900	0.03384
random_n124_d5	none	-0.50	8	61.525	60.400	0.259	60.400	0.05095
random_n124_d5	none	-0.40	8	60.975	60.000	0.000	60.000	0.06900
random_n124_d5	none	-0.30	8	60.250	60.000	0.000	60.000	0.10241
random_n124_d5	none	-0.20	8	60.275	60.000	0.000	60.000	0.15165
random_n124_d5	none	-0.10	8	62.625	60.875	0.398	61.950	0.22025
random_n124_d5	none	0.00	8	63.400	62.400	0.550	65.950	0.30380
random_n124_d5	none	0.10	8	68.400	65.250	0.648	71.975	0.39603
random_n124_d5	none	0.20	8	68.500	67.500	0.681	77.200	0.48965
random_n124_d5	none	0.30	8	70.625	69.500	0.926	84.125	0.57577
random_n124_d5	none	0.40	8	70.975	73.200	1.001	89.350	0.65140
random_n124_d5	none	0.50	8	70.875	71.750	1.031	93.900	0.71574
random_n124_d5	none	0.60	8	73.000	72.725	1.275	98.725	0.76885
random_n124_d5	none	0.70	8	73.125	73.750	1.221	100.450	0.81216
random_n124_d5	none	0.80	8	74.750	72.125	1.172	103.225	0.84791
random_n124_d5	none	0.90	8	73.725	73.150	0.968	104.875	0.87714
random_n124_d5	none	1.00	8	76.875	74.250	0.750	106.725	0.90056
random_n124_d5	none	1.10	8	72.650	72.750	0.861	108.725	0.91995
random_n124_d5	none	1.20	8	71.275	74.525	2.073	110.175	0.93539
random_n124_d5	rk1	-1.00	8	67.400	65.175	1.368	65.175	0.00044
random_n124_d5	rk1	-0.90	8	67.475	64.900	0.855	64.975	0.00068
random_n124_d5	rk1	-0.80	8	66.325	64.350	0.887	64.350	0.00080
random_n124_d5	rk1	-0.70	8	66.125	63.550	0.694	63.625	0.00109
random_n124_d5	rk1	-0.60	8	65.475	62.775	0.850	62.775	0.00140
random_n124_d5	rk1	-0.50	8	66.625	62.400	0.442	62.400	0.00218
random_n124_d5	rk1	-0.40	8	64.875	61.000	0.378	61.000	0.00359
random_n124_d5	rk1	-0.30	8	62.975	60.750	0.313	60.900	0.00702
random_n124_d5	rk1	-0.20	8	62.650	60.625	0.324	61.150	0.01679
random_n124_d5	rk1	-0.10	8	65.375	61.875	0.479	63.600	0.03884
random_n124_d5	rk1	0.00	8	65.225	63.850	0.703	68.025	0.08166
random_n124_d5	rk1	0.10	8	67.600	65.000	0.598	74.325	0.15072
random_n124_d5	rk1	0.20	8	69.125	68.400	0.758	80.700	0.24061
random_n124_d5	rk1	0.30	8	72.625	71.750	0.996	86.275	0.34264
random_n124_d5	rk1	0.40	8	72.375	70.525	0.715	90.675	0.44316
random_n124_d5	rk1	0.50	8	71.500	73.125	1.329	95.525	0.53606
random_n124_d5	rk1	0.60	8	73.875	70.225	1.621	96.925	0.61820
random_n124_d5	rk1	0.70	8	73.250	72.125	1.505	102.300	0.68754
random_n124_d5	rk1	0.80	8	72.725	72.000	1.350	104.400	0.74575
random_n124_d5	rk1	0.90	8	72.625	73.625	1.133	106.100	0.79403
random_n124_d5	rk1	1.00	8	71.850	73.625	0.944	106.325	0.83332
random_n124_d5	rk1	1.10	8	75.750	73.125	1.418	109.125	0.86554
random_n124_d5	rk1	1.20	8	73.875	73.125	0.972	110.200	0.89195
random_n124_d5	rk4	-1.00	8	70.300	68.250	0.810	68.250	0.00019
random_n124_d5	rk4	-0.90	8	66.925	63.600	0.550	63.600	0.00031
random_n124_d5	rk4	-0.80	8	66.250	64.000	0.568	64.000	0.00070
random_n124_d5	rk4	-0.70	8	64.875	63.275	0.577	63.275	0.00181
random_n124_d5	rk4	-0.60	8	62.250	60.900	0.391	60.900	0.00433
random_n124_d5	rk4	-0.50	8	62.125	60.750	0.269	60.750	0.01043
random_n124_d5	rk4	-0.40	8	60.800	60.300	0.156	60.300	0.02171
random_n124_d5	rk4	-0.30	8	60.650	60.000	0.000	60.000	0.04335
random_n124_d5	rk4	-0.20	8	61.025	60.100	0.100	60.275	0.08066
random_n124_d5	rk4	-0.10	8	62.475	61.250	0.412	62.875	0.13878
random_n124_d5	rk4	0.00	8	65.600	62.600	0.704	66.075	0.21586
random_n124_d5	rk4	0.10	8	67.000	65.850	0.824	72.850	0.31042
random_n124_d5	rk4	0.20	8	69.375	67.150	0.983	78.950	0.40945
random_n124_d5	rk4	0.30	8	70.350	70.625	1.068	85.100	0.50508
random_n124_d5	rk4	0.40	8	73.025	70.100	1.196	91.000	0.59025
random_n124_d5	rk4	0.50	8	72.375	73.250	1.264	94.075	0.66424
